,date,xauusd
165,2014-06-15,1277.2452374718
166,2014-06-16,1271.8155664637
167,2014-06-17,1270.936311792
168,2014-06-18,1277.3355856212
169,2014-06-19,1320.4469605601
170,2014-06-20,1314.2736106977
171,2014-06-21,1314.2504172745
172,2014-06-22,1314.0604467806
173,2014-06-23,1316.4267569389
174,2014-06-24,1317.6586551358
175,2014-06-25,1318.2177037037
176,2014-06-26,1316.4039820397
177,2014-06-27,1315.6030142395
178,2014-06-28,1315.8847021824
179,2014-06-29,1315.6509841069
180,2014-06-30,1326.6108827445
181,2014-07-01,1326.1623659454
182,2014-07-02,1326.7056968757
183,2014-07-03,1319.4419143468
184,2014-07-04,1320.6102440245
185,2014-07-05,1320.890544405
186,2014-07-06,1317.7834881729
187,2014-07-07,1319.4997599253
188,2014-07-08,1318.9943406173
189,2014-07-09,1327.1955686694
190,2014-07-10,1336.0828229892
191,2014-07-11,1338.4052710049
192,2014-07-12,1338.688085676
193,2014-07-13,1338.661204929
194,2014-07-14,1307.1128723604
195,2014-07-15,1294.873959546
196,2014-07-16,1298.8137557362
197,2014-07-17,1319.6741077964
198,2014-07-18,1310.6531329381
199,2014-07-19,1301.7273922495
200,2014-07-20,1300.7030299877
201,2014-07-21,1312.0355659224
202,2014-07-22,1307.1719192508
203,2014-07-23,1303.9649866087
204,2014-07-24,1293.3625640164
205,2014-07-25,1307.3953312982
206,2014-07-26,1307.198086262
207,2014-07-27,1307.0613992092
208,2014-07-28,1303.9809841451
209,2014-07-29,1299.4288240698
210,2014-07-30,1296.2212504444
211,2014-07-31,1283.2048257682
212,2014-08-01,1293.6574418402
213,2014-08-02,1293.6861646733
214,2014-08-03,1293.5690216091
215,2014-08-04,1288.4143948418
216,2014-08-05,1288.3364515933
217,2014-08-06,1306.6585397771
218,2014-08-07,1312.6008729573
219,2014-08-08,1309.1612331608
220,2014-08-09,1309.0718680456
221,2014-08-10,1310.7963743372
222,2014-08-11,1307.543048954
223,2014-08-12,1310.8465957043
224,2014-08-13,1312.3956413409
225,2014-08-14,1312.5337753057
226,2014-08-15,1304.9879064396
227,2014-08-16,1305.2870652578
228,2014-08-17,1302.4903615713
229,2014-08-18,1298.1746708536
230,2014-08-19,1295.3659357329
231,2014-08-20,1291.0001454391
232,2014-08-21,1277.127525051
233,2014-08-22,1280.6645869287
234,2014-08-23,1280.5818964137
235,2014-08-24,1277.424711781
236,2014-08-25,1275.9277598196
237,2014-08-26,1280.6231299246
238,2014-08-27,1283.1054598823
239,2014-08-28,1289.9928366959
240,2014-08-29,1287.0794072634
241,2014-08-30,1287.0841109467
242,2014-08-31,1286.7611578277
243,2014-09-01,1286.953459072
244,2014-09-02,1266.6437259188
245,2014-09-03,1268.8964181473
246,2014-09-04,1259.9155111234
247,2014-09-05,1268.8494199436
248,2014-09-06,1268.9791697069
249,2014-09-07,1269.3174245549
250,2014-09-08,1256.9322504138
251,2014-09-09,1255.1532514494
252,2014-09-10,1249.4870270578
253,2014-09-11,1240.6726948855
254,2014-09-12,1228.5686192275
255,2014-09-13,1228.7880463499
