Date,exchange_rate
2014-01-01,20835.0
2014-01-02,21055.0
2014-01-03,21050.0
2014-01-06,21050.0
2014-01-07,21045.0
2014-01-08,21041.0
2014-01-09,21050.0
2014-01-10,21050.0
2014-01-13,21040.0
2014-01-14,21040.0
2014-01-15,21041.0
2014-01-16,21045.0
2014-01-17,21050.0
2014-01-20,20790.0
2014-01-21,21045.0
2014-01-22,21040.0
2014-01-23,21035.0
2014-01-24,21030.0
2014-01-27,21030.0
2014-01-28,21030.0
2014-01-29,21035.0
2014-01-30,21033.0
2014-01-31,21041.0
2014-02-03,21041.0
2014-02-04,21035.0
2014-02-05,21035.0
2014-02-06,21035.0
2014-02-07,21065.0
2014-02-10,21055.0
2014-02-11,21065.0
2014-02-12,21060.0
2014-02-13,20791.0
2014-02-14,21060.0
2014-02-17,20822.0
2014-02-18,21055.0
2014-02-19,21055.0
2014-02-20,21045.0
2014-02-21,21045.0
2014-02-24,21045.0
2014-02-25,21055.0
2014-02-26,21055.0
2014-02-27,21050.0
2014-02-28,21050.0
2014-03-03,21055.0
2014-03-04,21050.0
2014-03-05,21055.0
2014-03-06,21050.0
2014-03-07,21055.0
2014-03-10,21.05500030517578
2014-03-11,21055.0
2014-03-12,21050.0
2014-03-13,21055.0
2014-03-14,21050.0
2014-03-17,21045.0
2014-03-18,21045.0
2014-03-19,21040.0
2014-03-20,21040.0
2014-03-21,21038.0
2014-03-24,21050.0
2014-03-25,21045.0
2014-03-26,21040.0
2014-03-27,21040.0
2014-03-28,21045.0
2014-03-31,21048.0
2014-04-01,21040.0
2014-04-02,20805.0
2014-04-03,21040.0
2014-04-04,21045.0
2014-04-07,21045.0
2014-04-08,21045.0
2014-04-09,21045.0
2014-04-10,21045.0
2014-04-11,21040.0
2014-04-14,21040.0
2014-04-15,21047.0
2014-04-16,21047.0
2014-04-17,21075.0
2014-04-18,21040.0
2014-04-21,21040.0
2014-04-22,21045.0
2014-04-23,21063.0
2014-04-24,21075.0
2014-04-25,21077.0
2014-04-28,21061.0
2014-04-29,21061.0
2014-04-30,3210.0
2014-05-01,21050.0
2014-05-02,21.0
2014-05-05,21035.0
2014-05-06,21035.0
2014-05-07,21060.0
2014-05-08,21061.0
2014-05-09,21061.0
2014-05-12,21060.0
2014-05-13,21050.0
2014-05-14,21055.0
2014-05-15,21055.0
2014-05-16,21056.0
2014-05-19,21050.0
2014-05-20,21057.0
2014-05-21,21050.0
2014-05-22,21050.0
2014-05-23,21040.0
2014-05-26,20851.0
2014-05-27,21075.0
2014-05-28,21095.0
2014-05-29,21095.0
2014-05-30,21090.0
2014-06-02,21095.0
2014-06-03,21167.0
2014-06-04,21175.0
2014-06-05,21175.0
2014-06-06,21175.0
2014-06-09,21100.0
2014-06-10,21120.0
2014-06-11,21140.0
2014-06-12,21115.0
2014-06-13,21135.0
2014-06-16,21145.0
2014-06-17,21175.0
2014-06-18,21170.0
2014-06-19,21247.0
2014-06-20,21240.0
2014-06-23,21291.0
2014-06-24,21301.0
2014-06-25,21310.0
2014-06-26,21325.0
2014-06-27,21315.0
2014-06-30,21201.0
2014-07-01,21257.0
2014-07-02,21285.0
2014-07-03,21270.0
2014-07-04,20997.0
2014-07-07,21250.0
2014-07-08,21255.0
2014-07-09,21255.0
2014-07-10,21205.0
2014-07-11,21155.0
2014-07-14,21150.0
2014-07-15,21155.0
2014-07-16,21165.0
2014-07-17,21180.0
2014-07-18,21175.0
2014-07-21,21155.0
2014-07-22,21170.0
2014-07-23,21175.0
2014-07-24,21175.0
2014-07-25,21170.0
2014-07-28,21180.0
2014-07-29,21165.0
2014-07-30,21165.0
2014-07-31,3211.0
2014-08-01,21155.0
2014-08-04,21125.0
2014-08-05,21150.0
2014-08-06,20910.0
2014-08-07,20921.0
2014-08-08,20918.0
2014-08-11,20910.0
2014-08-12,20895.0
2014-08-13,20904.0
2014-08-14,20891.0
2014-08-15,20873.0
2014-08-18,20898.0
2014-08-19,20899.0
2014-08-20,20893.0
2014-08-21,20890.0
2014-08-22,20895.0
2014-08-25,20914.0
2014-08-26,20904.0
2014-08-27,20872.0
2014-08-28,20879.0
2014-08-29,20978.0
2014-09-01,20903.0
2014-09-02,20866.0
2014-09-03,20915.0
2014-09-04,21195.0
2014-09-05,20892.0
2014-09-08,21170.0
2014-09-09,20814.0
2014-09-10,20954.0
2014-09-11,20889.0
2014-09-12,20834.0
2014-09-15,20864.0
2014-09-16,20867.0
2014-09-17,21046.0
2014-09-18,20827.0
2014-09-19,20951.0
2014-09-22,20895.0
2014-09-23,20970.0
2014-09-24,21007.0
2014-09-25,20863.0
2014-09-26,21003.0
2014-09-29,20901.0
2014-09-30,20850.0
2014-10-01,20888.0
2014-10-02,20937.0
