,params,eval_metric
2,"{'n_estimators': 300, 'max_depth': 7, 'min_samples_split': 3, 'min_samples_leaf': 1, 'bootstrap': True, 'lookback_window': 31}",0.771791251557954
0,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 3, 'bootstrap': False, 'lookback_window': 31}",0.7918937215265004
1,"{'n_estimators': 500, 'max_depth': 7, 'min_samples_split': 3, 'min_samples_leaf': 2, 'bootstrap': True, 'lookback_window': 31}",0.7961976603171543
4,"{'n_estimators': 400, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 4, 'bootstrap': True, 'lookback_window': 31}",0.8430006897030493
3,"{'n_estimators': 800, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': False, 'lookback_window': 31}",0.9277398537760181
