,params,eval_metric
0,"{'eta': 0.2, 'n_estimators': 600, 'max_depth': 6, 'colsample_bytree': 0.8, 'subsample': 0.6, 'lookback_window': 31}",0.6737841304655996
4,"{'eta': 0.2, 'n_estimators': 500, 'max_depth': 5, 'colsample_bytree': 0.6, 'subsample': 0.8, 'lookback_window': 31}",0.7045832184822328
1,"{'eta': 0.2, 'n_estimators': 300, 'max_depth': 6, 'colsample_bytree': 0.6, 'subsample': 0.6, 'lookback_window': 31}",0.7277560523248485
2,"{'eta': 0.4, 'n_estimators': 500, 'max_depth': 7, 'colsample_bytree': 0.6, 'subsample': 0.8, 'lookback_window': 31}",0.7567962941815773
3,"{'eta': 0.4, 'n_estimators': 400, 'max_depth': 6, 'colsample_bytree': 0.6, 'subsample': 0.8, 'lookback_window': 31}",0.7634831287014867
